Hospitalizations,Hosp error,Costs,Cost error,AduSeronegVacRate,ChiSeronegVacRrate,AduSeroposVacRate,ChiSeroposVacRrate
0.0157125,0.0017,0,0,0,0,0,0
0.0144485,0.0015,10252.8,4.0426,0,0.01,0,0.01
0.0155833,0.0015,19700.9,6.9816,0,0.02,0,0.02
0.0158796,0.0012,43756.7,13.2127,0,0.05,0,0.05
0.00682602,0.0011,70433.9,30.0293,0,0.1,0,0.1
0.0137961,0.0012,59661.0,24.3799,0.01,0,0.01,0
0.0151814,0.0021,111983.0,31.5011,0.02,0,0.02,0
0.00940248,0.0021,230852.0,132.4649,0.05,0,0.05,0
0.00832633,0.0015,344315.0,206.4791,0.1,0,0.01,0
0.0149755,0.0014,21719.9,25.4916,0.01,0.01,0,0
0.00822342,0.0018,42386.2,62.9515,0.02,0.02,0,0
0.0158295,0.0017,93842.5,60.5290,0.05,0.05,0,0
0.015632,0.0004,155242.0,22.6260,0.1,0.1,0,0
0.0134036,0.0014,51240.8,0.1581,0,0,0.01,0.01
0.0132671,0.0016,101568.0,0.3240,0,0,0.02,0.02
0.0122048,0.0020,246351.0,1.0028,0,0,0.05,0.05
0.00620758,0.0018,460720.0,1.6525,0,0,0.1,0.1
0.0162081,0.0020,70448.1,15.7775,0.01,0.01,0.01,0.01
0.0113922,0.0018,133305.0,59.0430,0.02,0.02,0.02,0.02
0.00922913,0.0020,282893.0,110.0787,0.05,0.05,0.05,0.05
0.015286,0.0013,437134.0,55.4717,0.1,0.1,0.1,0.1
